Survived,Pclass,Age,SibSp,Parch,Fare,Family_Size,Age*Class,Fare_Per_Person,Sex_female,Embarked_C,Embarked_Q,Embarked_S,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_U
0,3,22.0,1,0,7.25,1,66.0,3.625,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,1,38.0,1,0,71.2833,1,38.0,35.64165,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,3,26.0,0,0,7.925,0,78.0,7.925,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,35.0,1,0,53.1,1,35.0,26.55,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0,3,35.0,0,0,8.05,0,105.0,8.05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,28.0,0,0,8.4583,0,84.0,8.4583,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,1,54.0,0,0,51.8625,0,54.0,51.8625,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
0,3,2.0,3,1,21.075,4,6.0,4.215,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,3,27.0,0,2,11.1333,2,81.0,3.7111,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,2,14.0,1,0,30.0708,1,28.0,15.0354,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,3,4.0,1,1,16.7,2,12.0,5.566666666666666,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,58.0,0,0,26.55,0,58.0,26.55,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
0,3,20.0,0,0,8.05,0,60.0,8.05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,39.0,1,5,31.275,6,117.0,4.4678571428571425,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,14.0,0,0,7.8542,0,42.0,7.8542,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,2,55.0,0,0,16.0,0,110.0,16.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,3,2.0,4,1,29.125,5,6.0,4.854166666666667,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,2,28.0,0,0,13.0,0,56.0,13.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,31.0,1,0,18.0,1,93.0,9.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,3,28.0,0,0,7.225,0,84.0,7.225,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,2,35.0,0,0,26.0,0,70.0,26.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,2,34.0,0,0,13.0,0,68.0,13.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1,3,15.0,0,0,8.0292,0,45.0,8.0292,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,28.0,0,0,35.5,0,28.0,35.5,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
0,3,8.0,3,1,21.075,4,24.0,4.215,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,3,38.0,1,5,31.3875,6,114.0,4.483928571428572,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,3,28.0,0,0,7.225,0,84.0,7.225,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,1,19.0,3,2,263.0,5,19.0,43.833333333333336,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1,3,28.0,0,0,7.8792,0,84.0,7.8792,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3,28.0,0,0,7.8958,0,84.0,7.8958,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,1,40.0,0,0,27.7208,0,40.0,27.7208,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,1,28.0,1,0,146.5208,1,28.0,73.2604,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,3,28.0,0,0,7.75,0,84.0,7.75,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,2,66.0,0,0,10.5,0,132.0,10.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,1,28.0,1,0,82.1708,1,28.0,41.0854,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,1,42.0,1,0,52.0,1,42.0,26.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,3,28.0,0,0,7.2292,0,84.0,7.2292,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,21.0,0,0,8.05,0,63.0,8.05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,18.0,2,0,18.0,2,54.0,6.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,3,14.0,1,0,11.2417,1,42.0,5.62085,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3,40.0,1,0,9.475,1,120.0,4.7375,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,2,27.0,1,0,21.0,1,54.0,10.5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,3,28.0,0,0,7.8958,0,84.0,7.8958,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,2,3.0,1,2,41.5792,3,6.0,10.3948,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,3,19.0,0,0,7.8792,0,57.0,7.8792,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3,28.0,0,0,8.05,0,84.0,8.05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,28.0,1,0,15.5,1,84.0,7.75,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,3,28.0,0,0,7.75,0,84.0,7.75,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3,28.0,2,0,21.6792,2,84.0,7.226400000000001,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,18.0,1,0,17.8,1,54.0,8.9,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,3,7.0,4,1,39.6875,5,21.0,6.614583333333333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0,3,21.0,0,0,7.8,0,63.0,7.8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,1,49.0,1,0,76.7292,1,49.0,38.3646,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,2,29.0,1,0,26.0,1,58.0,13.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,1,65.0,0,1,61.9792,1,65.0,30.9896,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,1,28.0,0,0,35.5,0,28.0,35.5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1,2,21.0,0,0,10.5,0,42.0,10.5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3,28.5,0,0,7.2292,0,85.5,7.2292,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,2,5.0,1,2,27.75,3,10.0,6.9375,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3,11.0,5,2,46.9,7,33.0,5.8625,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0,3,22.0,0,0,7.2292,0,66.0,7.2292,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,1,45.0,1,0,83.475,1,45.0,41.7375,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
0,3,4.0,3,2,27.9,5,12.0,4.6499999999999995,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0,1,28.0,0,0,27.7208,0,28.0,27.7208,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,3,28.0,1,1,15.2458,2,84.0,5.081933333333333,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,2,29.0,0,0,10.5,0,58.0,10.5,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0,3,19.0,0,0,8.1583,0,57.0,8.1583,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,3,17.0,4,2,7.925,6,51.0,1.1321428571428571,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3,26.0,2,0,8.6625,2,78.0,2.8874999999999997,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,2,32.0,0,0,10.5,0,64.0,10.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,16.0,5,2,46.9,7,48.0,5.8625,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,2,21.0,0,0,73.5,0,42.0,73.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,26.0,1,0,14.4542,1,78.0,7.2271,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,3,32.0,0,0,56.4958,0,96.0,56.4958,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,25.0,0,0,7.65,0,75.0,7.65,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
