Survived,Age,SibSp,Parch,Fare,Family_Size,Age*Class,Fare_Per_Person,Pclass_1,Pclass_2,Pclass_3,Sex_female,Embarked_C,Embarked_Q,Embarked_S,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_U
0,22,1,0,7.25,1,66,3.625,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,38,1,0,71.2833,1,38,35.64165,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,26,0,0,7.925,0,78,7.925,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,35,1,0,53.1,1,35,26.55,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0,35,0,0,8.05,0,105,8.05,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,18,0,0,8.4583,0,54,8.4583,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,54,0,0,51.8625,0,54,51.8625,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
0,2,3,1,21.075,4,6,4.215,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,27,0,2,11.1333,2,81,3.7111,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,14,1,0,30.0708,1,28,15.0354,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,4,1,1,16.7,2,12,5.566666666666666,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,58,0,0,26.55,0,58,26.55,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
0,20,0,0,8.05,0,60,8.05,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,39,1,5,31.275,6,117,4.4678571428571425,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,14,0,0,7.8542,0,42,7.8542,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,55,0,0,16.0,0,110,16.0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,2,4,1,29.125,5,6,4.854166666666667,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,26,0,0,13.0,0,52,13.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,31,1,0,18.0,1,93,9.0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,38,0,0,7.225,0,114,7.225,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,35,0,0,26.0,0,70,26.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,34,0,0,13.0,0,68,13.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1,15,0,0,8.0292,0,45,8.0292,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,28,0,0,35.5,0,28,35.5,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
0,8,3,1,21.075,4,24,4.215,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,38,1,5,31.3875,6,114,4.483928571428572,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,43,0,0,7.225,0,129,7.225,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,19,3,2,263.0,5,19,43.833333333333336,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1,18,0,0,7.8792,0,54,7.8792,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,40,0,0,7.8958,0,120,7.8958,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,40,0,0,27.7208,0,40,27.7208,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,38,1,0,146.5208,1,38,73.2604,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,18,0,0,7.75,0,54,7.75,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,66,0,0,10.5,0,132,10.5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,28,1,0,82.1708,1,28,41.0854,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,42,1,0,52.0,1,42,26.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
